T_Group,Count,Date
Adm,2,2021-01-27
Tea,1,2021-01-27
ICT,1,2021-01-27
Tea,3,2021-01-28
ICT,2,2021-01-28
T01,8,2021-01-28
T03,5,2021-01-28
T04,13,2021-01-28
T05,1,2021-01-28
T06,7,2021-01-28
T07,5,2021-01-28
T08,5,2021-01-28
T09,5,2021-01-28
T10,6,2021-01-28
T11,2,2021-01-28
ICT,3,2021-01-29
T01,11,2021-01-29
T02,6,2021-01-29
T03,8,2021-01-29
T05,3,2021-01-29
T08,15,2021-01-29
T09,8,2021-01-29
T10,10,2021-01-29
T11,6,2021-01-29
T12,10,2021-01-29
T02,7,2021-01-30
T05,12,2021-01-30
T06,8,2021-01-30
T07,13,2021-01-30
T08,16,2021-01-30
T10,11,2021-01-30
T11,8,2021-01-30
T12,11,2021-01-30
T05,14,2021-01-31
T06,9,2021-01-31
T07,14,2021-01-31
T11,10,2021-01-31
T12,12,2021-01-31
T02,8,2021-02-01
T06,10,2021-02-01
T08,17,2021-02-01
T06,11,2021-02-02
T12,13,2021-02-02
T04,14,2021-02-03
T06,12,2021-02-03
T08,18,2021-02-04
T10,12,2021-02-04
T12,14,2021-02-04
T11,11,2021-02-06
T08,19,2021-02-07
T11,13,2021-02-07
T07,15,2021-02-09
T02,9,2021-02-11
T07,16,2021-02-11
T12,15,2021-02-11
T05,15,2021-02-16
T05,16,2021-02-17
T05,17,2021-02-19
T11,14,2021-02-19
T03,9,2021-02-20
T07,17,2021-02-20
ICT,4,2021-02-21
T10,13,2021-02-28
T12,16,2021-03-01
T05,18,2021-03-04
T02,12,2021-03-05
T05,19,2021-03-05
T08,20,2021-03-05
T02,14,2021-03-07
T05,20,2021-03-07
T02,15,2021-03-08
T05,21,2021-03-08
T07,18,2021-03-08
T02,17,2021-03-09
T04,15,2021-03-09
T06,15,2021-03-09
T07,20,2021-03-09
T01,14,2021-03-10
T02,21,2021-03-10
T03,10,2021-03-10
T05,26,2021-03-10
T06,20,2021-03-10
T07,21,2021-03-10
T08,22,2021-03-10
T09,9,2021-03-10
T10,15,2021-03-10
T11,20,2021-03-10
T12,18,2021-03-10
Adm,2,2021-03-11
Tea,4,2021-03-11
ICT,4,2021-03-11
T01,14,2021-03-11
T02,22,2021-03-11
T03,10,2021-03-11
T04,15,2021-03-11
T05,26,2021-03-11
T06,21,2021-03-11
T07,21,2021-03-11
T08,23,2021-03-11
T09,9,2021-03-11
T10,15,2021-03-11
T11,21,2021-03-11
T12,18,2021-03-11
